Age,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Transported,FoodCourt_missing,ShoppingMall_missing,Spa_missing,VRDeck_missing,ShoppingMall_squared,ShoppingMall_cubed,Spa_cubed,RoomService_cubed,VRDeck_cubed,RoomService*FoodCourt,Age*Age,HomePlanet_Europa,HomePlanet_Mars,HomePlanet_missing_value,CryoSleep_True,CryoSleep_missing_value,Destination_PSO J318.5-22,Destination_TRAPPIST-1e,Destination_missing_value,VIP_True,VIP_missing_value
39.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1521.0,True,False,False,False,False,False,True,False,False,False
24.0,109.0,9.0,25.0,549.0,44.0,True,0.0,0.0,0.0,0.0,625.0,15625.0,165469149.0,1295029.0,85184.0,981.0,576.0,False,False,False,False,False,False,True,False,False,False
58.0,43.0,3576.0,0.0,6715.0,49.0,False,0.0,0.0,0.0,0.0,0.0,0.0,302787575875.0,79507.0,117649.0,153768.0,3364.0,True,False,False,False,False,False,True,False,True,False
33.0,0.0,1283.0,371.0,3329.0,193.0,False,0.0,0.0,0.0,0.0,137641.0,51064811.0,36892780289.0,0.0,7189057.0,0.0,1089.0,True,False,False,False,False,False,True,False,False,False
16.0,303.0,70.0,151.0,565.0,2.0,True,0.0,0.0,0.0,0.0,22801.0,3442951.0,180362125.0,27818127.0,8.0,21210.0,256.0,False,False,False,False,False,False,True,False,False,False
44.0,0.0,483.0,0.0,291.0,0.0,True,0.0,0.0,0.0,0.0,0.0,0.0,24642171.0,0.0,0.0,0.0,1936.0,False,False,False,False,False,True,False,False,False,False
26.0,42.0,1539.0,3.0,0.0,0.0,True,0.0,0.0,0.0,0.0,9.0,27.0,0.0,74088.0,0.0,64638.0,676.0,False,False,False,False,False,False,True,False,False,False
28.0,0.0,0.0,0.0,0.0,304.8547912992357,True,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,28332120.172066003,0.0,784.0,False,False,False,True,False,False,True,False,False,False
35.0,0.0,785.0,17.0,216.0,0.0,True,0.0,0.0,0.0,0.0,289.0,4913.0,10077696.0,0.0,0.0,0.0,1225.0,False,False,False,False,False,False,True,False,False,False
14.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,196.0,True,False,False,True,False,False,False,False,False,False
34.0,0.0,0.0,173.72916912197996,0.0,0.0,True,0.0,1.0,0.0,0.0,30181.824203813518,5243463.241514186,0.0,0.0,0.0,0.0,1156.0,True,False,False,True,False,False,True,False,False,False
45.0,39.0,7295.0,589.0,110.0,124.0,True,0.0,0.0,0.0,0.0,346921.0,204336469.0,1331000.0,59319.0,1906624.0,284505.0,2025.0,True,False,False,False,False,False,False,False,False,False
32.0,73.0,0.0,1123.0,0.0,113.0,True,0.0,0.0,0.0,0.0,1261129.0,1416247867.0,0.0,389017.0,1442897.0,0.0,1024.0,False,True,False,False,False,False,True,False,False,False
48.0,719.0,1.0,65.0,0.0,24.0,False,0.0,0.0,0.0,0.0,4225.0,274625.0,0.0,371694959.0,13824.0,719.0,2304.0,False,False,False,False,False,False,True,False,False,False
28.0,8.0,974.0,12.0,2.0,7.0,True,0.0,0.0,0.0,0.0,144.0,1728.0,8.0,512.0,343.0,7792.0,784.0,False,False,False,False,False,False,True,False,False,False
31.0,32.0,0.0,876.0,0.0,0.0,False,0.0,0.0,0.0,0.0,767376.0,672221376.0,0.0,32768.0,0.0,0.0,961.0,False,False,False,False,False,False,True,False,False,False
27.0,1286.0,122.0,173.72916912197996,0.0,0.0,False,0.0,1.0,0.0,0.0,30181.824203813518,5243463.241514186,0.0,2126781656.0,0.0,156892.0,729.0,False,True,False,False,False,False,False,False,False,False
24.0,0.0,1.0,0.0,0.0,637.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,258474853.0,0.0,576.0,False,False,False,False,False,False,False,False,False,False
45.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025.0,False,True,False,True,False,False,True,False,False,False
0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,True,False,False,False
14.0,412.0,0.0,1.0,0.0,679.0,False,0.0,0.0,0.0,0.0,1.0,1.0,0.0,69934528.0,313046839.0,0.0,196.0,False,False,False,False,False,False,False,False,False,False
1.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,False,False,False,True,False,False,True,False,False,False
49.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2401.0,False,False,False,True,False,False,False,False,False,False
29.0,0.0,0.0,173.72916912197996,0.0,0.0,False,0.0,1.0,0.0,0.0,30181.824203813518,5243463.241514186,0.0,0.0,0.0,0.0,841.0,False,False,False,True,False,False,False,False,False,False
10.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,False,False,False,False,False,False,True,False,False,False
1.0,224.687617481203,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11343247.742890218,0.0,0.0,1.0,False,False,False,True,False,True,False,False,False,False
7.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,False,False,False,False,False,False,True,False,False,False
21.0,980.0,2.0,69.0,0.0,0.0,False,0.0,0.0,0.0,0.0,4761.0,328509.0,0.0,941192000.0,0.0,1960.0,441.0,False,True,False,False,False,False,True,False,False,False
62.0,0.0,0.0,173.72916912197996,0.0,0.0,True,0.0,1.0,0.0,0.0,30181.824203813518,5243463.241514186,0.0,0.0,0.0,0.0,3844.0,True,False,False,True,False,False,True,False,False,False
15.0,0.0,225.0,0.0,998.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,994011992.0,0.0,0.0,0.0,225.0,False,False,False,False,False,False,True,False,False,False
34.0,22.0,6073.0,0.0,1438.0,328.0,False,0.0,0.0,0.0,0.0,0.0,0.0,2973559672.0,10648.0,35287552.0,133606.0,1156.0,True,False,False,False,False,False,False,False,False,False
43.0,1125.0,0.0,136.0,48.0,0.0,False,0.0,0.0,0.0,0.0,18496.0,2515456.0,110592.0,1423828125.0,0.0,0.0,1849.0,False,True,False,False,False,False,True,False,False,False
32.0,0.0,850.0,81.0,437.0,453.0,False,0.0,0.0,0.0,0.0,6561.0,531441.0,83453453.0,0.0,92959677.0,0.0,1024.0,False,False,False,False,False,False,True,False,False,False
47.0,214.0,0.0,1411.0,0.0,1229.0,True,0.0,0.0,0.0,0.0,1990921.0,2809189531.0,0.0,9800344.0,1856331989.0,0.0,2209.0,False,True,False,False,False,False,True,False,False,False
2.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,False,True,False,False,False,False,True,False,False,False
20.0,224.687617481203,0.0,1750.0,990.0,0.0,True,0.0,0.0,0.0,0.0,3062500.0,5359375000.0,970299000.0,11343247.742890218,0.0,0.0,400.0,False,True,False,False,False,False,True,False,False,False
28.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,784.0,True,False,False,True,False,False,False,False,False,False
23.0,784.0,964.0,0.0,951.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,860085351.0,481890304.0,0.0,755776.0,529.0,False,True,False,False,False,False,False,False,False,False
15.0,0.0,492.0,48.0,20.0,401.0,False,0.0,0.0,0.0,0.0,2304.0,110592.0,8000.0,0.0,64481201.0,0.0,225.0,False,False,False,False,False,False,False,False,False,True
20.0,554.0,195.0,0.0,2606.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,17697961016.0,170031464.0,0.0,108030.0,400.0,False,False,False,False,False,False,False,False,False,False
30.0,0.0,0.0,173.72916912197996,0.0,0.0,False,0.0,1.0,0.0,0.0,30181.824203813518,5243463.241514186,0.0,0.0,0.0,0.0,900.0,False,False,False,True,False,False,False,False,False,False
17.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,289.0,False,False,False,True,False,False,True,False,False,False
45.0,0.0,164.0,45.0,2511.0,855.0,False,0.0,0.0,0.0,0.0,2025.0,91125.0,15832158831.0,0.0,625026375.0,0.0,2025.0,True,False,False,False,False,False,True,False,False,False
55.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3025.0,False,False,False,True,False,False,True,False,False,False
4.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,False,False,False,True,False,False,False,False,False,False
21.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,441.0,False,False,False,True,False,True,False,False,False,False
21.0,970.0,0.0,180.0,0.0,64.0,False,0.0,0.0,0.0,0.0,32400.0,5832000.0,0.0,912673000.0,262144.0,0.0,441.0,False,True,False,False,False,False,True,False,False,False
19.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,361.0,False,True,False,True,False,False,False,True,False,False
35.0,790.0,0.0,0.0,311.1387779083431,0.0,False,0.0,0.0,1.0,0.0,0.0,0.0,30120517.18582555,493039000.0,0.0,0.0,1225.0,False,False,False,False,False,False,False,False,False,False
56.0,0.0,112.0,0.0,1379.0,127.0,False,0.0,0.0,0.0,0.0,0.0,0.0,2622362939.0,0.0,2048383.0,0.0,3136.0,False,False,False,False,False,False,True,False,False,False
28.82793046746535,4.0,0.0,2.0,4683.0,0.0,False,0.0,0.0,0.0,0.0,4.0,8.0,102700479987.0,64.0,0.0,0.0,831.049575037017,False,False,False,False,False,False,True,False,False,False
25.0,0.0,0.0,1938.0,0.0,1.0,True,0.0,0.0,0.0,0.0,3755844.0,7278825672.0,0.0,0.0,1.0,0.0,625.0,False,False,False,False,False,False,True,False,False,False
2.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,True,False,False,False,False,False,True,False,False,False
38.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1444.0,True,False,False,True,False,False,True,False,False,False
27.0,279.0,605.0,3374.0,286.0,3.0,True,0.0,0.0,0.0,0.0,11383876.0,38409197624.0,23393656.0,21717639.0,27.0,168795.0,729.0,True,False,False,False,False,False,True,False,False,False
36.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1296.0,False,False,False,True,False,True,False,False,False,False
22.0,45.0,1096.0,148.0,1377.0,1.0,False,0.0,0.0,0.0,0.0,21904.0,3241792.0,2610969633.0,91125.0,1.0,49320.0,484.0,False,False,False,False,False,False,True,False,False,False
62.0,0.0,592.0,0.0,17.0,25.0,False,0.0,0.0,0.0,0.0,0.0,0.0,4913.0,0.0,15625.0,0.0,3844.0,False,False,False,False,False,False,True,False,False,False
15.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,225.0,False,True,False,True,False,False,True,False,False,False
33.0,0.0,0.0,173.72916912197996,0.0,0.0,True,0.0,1.0,0.0,0.0,30181.824203813518,5243463.241514186,0.0,0.0,0.0,0.0,1089.0,False,False,True,True,False,False,True,False,False,False
62.0,1.0,153.0,197.0,0.0,460.0,False,0.0,0.0,0.0,0.0,38809.0,7645373.0,0.0,1.0,97336000.0,153.0,3844.0,False,False,False,False,False,False,True,False,False,False
0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,True,False,True,False,False,False,False
18.0,1.0,258.0,446.0,0.0,0.0,True,0.0,0.0,0.0,0.0,198916.0,88716536.0,0.0,1.0,0.0,258.0,324.0,False,False,False,False,False,False,True,False,False,False
